MAC Id,Login Time,Session Time,Download,Upload
xx:xx:xx:xx:xx:xx,18-06-25 14:24,0:27:57,158,14
xx:xx:xx:xx:xx:xx,18-06-25 13:56,0:32:17,1199,29
xx:xx:xx:xx:xx:xx,18-06-25 13:24,0:29:36,894,23
xx:xx:xx:xx:xx:xx,18-06-25 12:54,0:28:13,559,24
xx:xx:xx:xx:xx:xx,18-06-25 12:26,0:27:29,333,19
xx:xx:xx:xx:xx:xx,18-06-25 11:58,0:29:43,1624,42
xx:xx:xx:xx:xx:xx,18-06-25 11:29,0:28:32,571,22
xx:xx:xx:xx:xx:xx,18-06-25 11:00,0:29:19,885,684
xx:xx:xx:xx:xx:xx,18-06-25 10:31,0:29:18,397,261
xx:xx:xx:xx:xx:xx,18-06-25 10:02,0:29:10,254,205
xx:xx:xx:xx:xx:xx,18-06-25 9:32,0:32:24,339,16
xx:xx:xx:xx:xx:xx,18-06-25 9:00,0:30:06,507,389
xx:xx:xx:xx:xx:xx,18-06-25 8:30,0:29:07,1253,44
xx:xx:xx:xx:xx:xx,18-06-25 8:01,0:32:46,825,31
xx:xx:xx:xx:xx:xx,18-06-25 7:28,0:27:34,283,14
xx:xx:xx:xx:xx:xx,18-06-25 7:00,0:27:00,257,11
xx:xx:xx:xx:xx:xx,18-06-25 6:33,0:32:31,117,7
xx:xx:xx:xx:xx:xx,18-06-25 6:01,0:27:34,24,4
xx:xx:xx:xx:xx:xx,18-06-25 5:33,0:32:58,12,2
xx:xx:xx:xx:xx:xx,18-06-25 5:00,0:22:03,7,2
xx:xx:xx:xx:xx:xx,18-06-25 4:37,0:30:56,274,12
xx:xx:xx:xx:xx:xx,18-06-25 4:07,0:32:24,449,19
xx:xx:xx:xx:xx:xx,18-06-25 3:34,0:27:54,10,2
xx:xx:xx:xx:xx:xx,18-06-25 3:06,0:31:37,8,4
xx:xx:xx:xx:xx:xx,18-06-25 2:35,0:27:58,5,1
xx:xx:xx:xx:xx:xx,18-06-25 2:07,0:28:31,2,1
xx:xx:xx:xx:xx:xx,18-06-25 1:38,0:31:45,155,9
xx:xx:xx:xx:xx:xx,18-06-25 1:06,0:27:17,3,2
xx:xx:xx:xx:xx:xx,18-06-25 0:39,0:29:59,299,5
xx:xx:xx:xx:xx:xx,18-06-25 0:09,0:28:28,239,10
xx:xx:xx:xx:xx:xx,17-06-25 23:41,0:28:07,679,22
xx:xx:xx:xx:xx:xx,17-06-25 23:13,0:30:53,494,23
